"Title","Description","Subnet Address","Subnet Mask","Host Addresses","Max Hosts","Gateway","VLAN-ID","VLAN-Title"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Title","Description","Subnet Address","Subnet Mask","Host Addresses","Max Hosts","Gateway","VLAN-ID","VLAN Title"
"cs","External services","123.123.48.0",24,"123.123.48.1 – 123.123.48.254",254,"123.123.48.254",48,"cs"
,,"2001:638:807:30::0",64,"2001:638:807:30::0 – 2001:638:807:30::ffff",,"2001:638:807:30::1",,
"internal","Internal services","10.0.12.0",23,"10.0.12.1 – 10.0.13.254",510,"10.0.13.254",463,"eg_internal"
"admin","Administrators","10.0.14.0",23,"10.0.14.1 – 10.0.15.254",510,"10.0.15.254",464,"eg_admin"
"office","Secretariats","10.0.16.0",23,"10.0.16.1 – 10.0.17.254",510,"10.0.17.254",465,"eg_office"
"staff","Employee","10.0.18.0",23,"10.0.18.1 – 10.0.19.254",510,"10.0.19.254",466,"eg_staff_1"
"staff","Employee","10.0.20.0",23,"10.0.20.1 – 10.0.21.254",510,"10.0.21.254",467,"eg_staff_2"
"pool","Computer pools","10.0.22.0",23,"10.0.22.1 – 10.0.23.254",510,"10.0.23.254",468,"eg_pool"
"lab","Laboratories","10.0.24.0",23,"10.0.24.1 – 10.0.25.254",510,"10.0.25.254",469,"eg_lab"
"mgt.hpc","HPC management","10.0.26.0",23,"10.0.26.1 – 10.0.27.254",510,"10.0.27.254",470,"eg_hpc_mgt"
"ic.hpc","HPC interconnect","10.0.28.0",23,"10.0.28.1 – 10.0.29.254",510,"10.0.29.254",471,"eg_hpc_ic"
"slb","Server Load Balancing","10.0.30.0",23,"10.0.30.1 – 10.0.31.254",510,"10.0.31.254",472,"eg_slb"
"mgt","Management","10.0.32.0",23,"10.0.32.1 – 10.0.33.254",510,"10.0.33.254",473,"eg_mgt"
"san","Storage Area Network","10.0.34.0",23,"10.0.34.1 – 10.0.35.254",510,"10.0.35.254",474,"eg_san"
"vmo","VMware vSphere vMotion","10.0.36.0",23,"10.0.36.1 – 10.0.37.254",510,"10.0.37.254",475,"eg_vmo"
"prt","Network Printers","10.0.38.0",23,"10.0.38.1 – 10.0.39.254",510,"10.0.39.254",476,"eg_prt"
"cam","Video cameras","10.0.40.0",23,"10.0.40.1 – 10.0.41.254",510,"10.0.41.254",477,"eg_cam"
