implementation,language,size,time_sec,max_rss_kb,nodes_created,nodes_alive,ndd_nodes_created,ndd_nodes_alive,bdd_nodes_created,bdd_nodes_alive,solutions
BuDDy,C,8,0.07776417094282806,33976,53611,2451,0,0,53611,2451,92.0
CUDD,C,8,0.01970114791765809,1556,52385,2451,0,0,52385,2451,92.0
JDD,Java,8,0.1013627159409225,47628,53083,2451,0,0,53083,2451,92.0
JSylvan,Java,8,0.1998621099628508,100548,54140,2451,0,0,54140,2451,92.0
NDD-Origin,Java,8,0.077586,71392,18813,2980,9877,1274,8936,1706,92.0
NDD-reuse,Java,8,0.075226,70052,10950,1501,9877,1274,1073,227,92.0
NDD,Java,8,0.039729,63376,10797,600,9877,415,920,185,92.0
DD-BDD,C#,8,0.10595055902376771,30060,52181,2458,0,0,52181,2458,92.0
DD-CBDD,C#,8,0.10257622203789651,29972,46171,772,0,0,46171,772,92.0
BuDDy,C,9,0.055282986955717206,916,218386,9557,0,0,218386,9557,352.0
CUDD,C,9,0.08473582309670746,18248,216602,9557,0,0,216602,9557,352.0
JDD,Java,9,0.1696980339474976,52604,217230,9557,0,0,217230,9557,352.0
JSylvan,Java,9,0.16902391402982175,97144,219050,9557,0,0,219050,9557,352.0
NDD-Origin,Java,9,0.188159,127104,50686,4838,27781,2360,22905,2478,352.0
NDD-reuse,Java,9,0.178204,119348,29679,2652,27781,2360,1898,292,352.0
NDD,Java,9,0.070447,65436,29451,1364,27781,1133,1670,231,352.0
DD-BDD,C#,9,0.2518756380304694,33960,215883,9565,0,0,215883,9565,352.0
DD-CBDD,C#,9,0.2370591009967029,33848,185654,2795,0,0,185654,2795,352.0
BuDDy,C,10,0.27322165691293776,12272,958740,25945,0,0,958740,25945,724.0
CUDD,C,10,0.4706781960558146,38032,954767,25945,0,0,954767,25945,724.0
JDD,Java,10,0.40107504883781075,64156,956019,25945,0,0,956019,25945,724.0
JSylvan,Java,10,0.22102229786105454,113608,958344,25945,0,0,958344,25945,724.0
NDD-Origin,Java,10,0.49763,193236,146705,7747,94507,4310,52198,3437,724.0
NDD-reuse,Java,10,0.43743,184724,97924,4674,94507,4310,3417,364,724.0
NDD,Java,10,0.164244,85568,97595,2905,94507,2625,3088,280,724.0
DD-BDD,C#,10,0.5437371949665248,64908,77081,25954,0,0,77081,25954,724.0
DD-CBDD,C#,10,0.4338531200774014,61044,793143,6601,0,0,793143,6601,724.0
BuDDy,C,11,3.2928467099554837,33044,4699647,94822,0,0,4699647,94822,2680.0
CUDD,C,11,3.5442280468996614,165496,4687448,94822,0,0,4687448,94822,2680.0
JDD,Java,11,2.5617668021004647,86824,4691203,94822,0,0,4691203,94822,2680.0
JSylvan,Java,11,1.2376066320575774,210944,4693318,94822,0,0,4693318,94822,2680.0
NDD-Origin,Java,11,1.921927,587552,549703,15116,392824,10487,156879,4629,2680.0
NDD-reuse,Java,11,1.898573,594184,399085,10932,392824,10487,6261,445,2680.0
NDD,Java,11,0.558676,165616,398650,8579,392824,8244,5826,335,2680.0
DD-BDD,C#,11,2.5590114819351584,282948,3808918,94832,0,0,3808918,94832,2680.0
DD-CBDD,C#,11,1.7608569250442088,147488,1374411,22455,0,0,1374411,22455,2680.0
BuDDy,C,12,41.097934449091554,132060,24741296,435170,0,0,24741296,435170,14200.0
CUDD,C,12,28.66267362702638,290152,24740519,435170,0,0,24740519,435170,14200.0
JDD,Java,12,19.010857011191547,208500,24719128,435170,0,0,24719128,435170,14200.0
JSylvan,Java,12,4.815929505042732,1189512,24702052,435170,0,0,24702052,435170,14200.0
NDD-Origin,Java,12,10.228945,1830248,2481745,42799,1848510,36749,633235,6050,14200.0
NDD-reuse,Java,12,9.958038,1887984,1860431,37282,1848510,36749,11921,533,14200.0
NDD,Java,12,3.439133,483056,1859828,34230,1848510,33837,11318,393,14200.0
DD-BDD,C#,12,13.93081202590838,1031892,12943122,435181,0,0,12943122,435181,14200.0
DD-CBDD,C#,12,9.730087370146066,707192,2190375,98900,0,0,2190375,98900,14200.0
BuDDy,C,13,500,559724,0,0,0,0,0,0,0.0
CUDD,C,13,194.92846318497322,1249180,136780708,2044394,0,0,136780708,2044394,73712.0
JDD,Java,13,148.9700337559916,2153312,136725331,2044394,0,0,136725331,2044394,73712.0
JSylvan,Java,13,42.85679509001784,1426140,136752306,2044394,0,0,136752306,2044394,73712.0
NDD-Origin,Java,13,66.710407,6828624,12178662,157061,9355909,149303,2822753,7758,73712.0
NDD-reuse,Java,13,61.88774,6756196,9378951,149933,9355909,149303,23042,630,73712.0
NDD,Java,13,23.661821,2492744,9378160,146060,9355909,145603,22251,457,73712.0
DD-BDD,C#,13,81.58420812990516,8151360,101810366,2044406,0,0,101810366,2044406,73712.0
DD-CBDD,C#,13,55.48748787911609,2475704,24376279,445755,0,0,24376279,445755,73712.0
